,0
0,0
1,1
2,1
3,5
4,4
5,6
6,3
7,1
8,4
9,3
10,1
11,0
12,0
13,0
14,0
15,390
16,0
17,16
18,45
19,232
20,0
21,62
22,0
23,219
24,0
25,0
26,33
27,390
28,0
29,16
30,45
31,0
32,0
33,0
34,0
35,46
36,296
37,0
38,0
39,46
40,0
41,423
42,232
43,0
44,62
45,0
46,0
47,46
48,296
49,0
50,0
51,0
52,0
53,0
54,32
55,0
56,302
57,219
58,0
59,0
60,33
61,0
62,46
63,0
64,423
65,0
66,32
67,0
68,302
69,0
70,0
71,0
